rpm,real_w,speed,target_current,real_pos,pos,I6,I7
-0.203710,0.092232,9.839567,0.000142,0.006177,-0.017028,0.000000,0.000000
-0.203617,0.092350,9.839286,0.009729,0.001916,-0.005310,0.000000,0.000000
-0.203515,0.092358,9.839047,0.003338,0.004046,0.006408,0.000000,0.000000
-0.203461,0.092535,9.838896,0.005468,0.006177,-0.009571,0.000000,0.000000
-0.203329,0.092571,9.838693,0.008664,-0.001280,-0.013832,0.000000,0.000000
-0.203335,0.092620,9.838529,-0.007315,-0.006607,-0.009571,0.000000,0.000000
-0.203263,0.092617,9.838330,0.011860,0.014699,0.013865,0.000000,0.000000
-0.203133,0.092665,9.838098,0.010795,0.010438,-0.002114,0.000000,0.000000
-0.202994,0.092687,9.837895,0.002273,0.010438,-0.011702,0.000000,0.000000
-0.202856,0.092742,9.837718,0.005468,0.028547,0.001081,0.000000,0.000000
-0.202731,0.092808,9.837543,-0.006249,0.009372,0.007473,0.000000,0.000000
-0.202556,0.092748,9.837391,-0.009445,0.007242,0.005343,0.000000,0.000000
-0.202410,0.092690,9.837158,0.000142,0.013633,-0.001049,0.000000,0.000000
-0.202300,0.092629,9.837029,-0.008380,-0.001280,-0.008506,0.000000,0.000000
-0.202203,0.092612,9.836992,0.006534,0.005111,-0.002114,0.000000,0.000000
-0.202097,0.092630,9.836900,-0.008380,-0.000215,0.000016,0.000000,0.000000
-0.201988,0.092729,9.836899,-0.004119,-0.024716,0.002147,0.000000,0.000000
-0.202026,0.092843,9.836987,0.016121,0.011503,0.005343,0.000000,0.000000
-0.202037,0.092963,9.837007,0.031035,-0.010868,-0.018093,0.000000,0.000000
-0.202113,0.093109,9.836976,-0.014772,-0.008737,-0.022354,0.000000,0.000000
-0.202139,0.093078,9.836940,-0.000923,0.020025,0.015995,0.000000,0.000000
-0.202235,0.093096,9.836894,0.008664,-0.011933,-0.020224,0.000000,0.000000
-0.202402,0.093033,9.836966,0.022513,0.012568,-0.014898,0.000000,0.000000
-0.202512,0.092963,9.836987,0.019317,0.025351,-0.003180,0.000000,0.000000
-0.202636,0.092840,9.837033,0.008664,0.009372,0.017060,0.000000,0.000000
-0.202597,0.092806,9.837107,-0.005184,-0.008737,-0.038333,0.000000,0.000000
-0.202566,0.092826,9.837188,0.003338,0.017894,-0.028746,0.000000,0.000000
-0.202482,0.092866,9.837200,0.012925,0.009372,-0.004245,0.000000,0.000000
-0.202226,0.092934,9.837184,-0.008380,-0.008737,-0.001049,0.000000,0.000000
-0.201871,0.093003,9.837219,-0.013706,-0.004476,-0.005310,0.000000,0.000000
-0.201438,0.093155,9.837257,0.012925,0.002981,0.015995,0.000000,0.000000
-0.200945,0.093322,9.837239,0.012925,0.021090,0.002147,0.000000,0.000000
-0.200533,0.093449,9.837214,0.012925,-0.016194,-0.003180,0.000000,0.000000
-0.199940,0.093550,9.837215,-0.003054,0.002981,0.000016,0.000000,0.000000
